question, solution,verdict, memory,grade
q1,s1,,9.2M,
q1,s2,,9.2M,
q1,s3,,9.2M,
q1,s4,wrong answer,9.2M,
q1,s5,wrong answer,9.2M,
q1,s6,wrong answer,9.2M,
q1,s7,runtime error(NZEC),0M,
q1,s8,,7640M,
q1,s9,wrong answer,7640M,
q1,s10,,9.5M,
q1,s11,,9.5M,
q1,s12,,10.3M,
q1,s13,,9.2M,
q1,s14,,9.9M,
q1,s15,,10.1M,
q1,s16,,10.7M,
q1,s17,wrong answer,9.9M,
q1,s18,,10.7M,
q1,s19,,9.9M,
q1,s20,,10.7M,
q1,s21,,9.2M,
q1,s22,,10.1M,
q1,s23,,9.2M,
q2,s1,,9.2M,
q2,s2,,16.8M,
q2,s3,,16.7M,
q2,s4,,9.2M,
q2,s5,,9.2M,
q2,s6,,9.2M,
q2,s7,,9.2M,
q2,s8,wrong answer,0M,
q2,s9,wrong answer,0M,
q2,s10,wrong answer,0M,
q2,s11,,10.1M,
q2,s12,,9.9M,
q2,s13,,9.2M,
q2,s14,,9.2M,
q2,s15,wrong answer,0M,
q2,s16,wrong answer,0M,
q2,s17,,16.7M,
q2,s18,,9.2M,
q2,s19,,9.2M,
q2,s20,,9.2M,
q2,s21,,9.9M,
q2,s22,,9.2M,
q2,s23,runtime error(SIGSEGV),0M,
q2,s24,runtime error(SIGSEGV),0M,
q3,s1,wrong answer,9.2M,22
q3,s2,wrong answer,9.2M,22
q3,s3,wrong answer,9.3M,16
q3,s4,wrong answer,20.5M,12
q3,s5,wrong answer,10.2M,14
q3,s6,wrong answer,10.2M,14
q3,s7,wrong answer,10.2M,14
q3,s8,runtime error(SIGSEGV),9.2M,12
q3,s9,runtime error(SIGSEGV),9.2M,12
q3,s10,runtime error(SIGSEGV),9.2M,12
q3,s11,runtime error(SIGSEGV),9.2M,12
q3,s12,runtime error(SIGSEGV),9.2M,12
q3,s13,runtime error(SIGSEGV),9.2M,12
q3,s14,wrong answer,9.2M,20
q3,s15,wrong answer,9.2M,20
q3,s16,wrong answer,9.2M,20
q3,s17,accepted,9.2M,25
